request_index,latency_ms
1,31.594
2,1.099
3,1.045
4,1.022
5,0.957
6,0.965
7,0.951
8,0.995
9,0.960
10,0.961
11,1.031
12,1.070
13,1.248
14,1.011
15,0.969
16,0.934
17,0.954
18,0.954
19,0.949
20,0.938
21,0.931
22,0.907
23,0.918
24,0.914
25,0.931
26,0.927
27,0.953
28,0.948
29,1.006
30,1.011
31,1.095
32,1.016
33,1.150
34,0.933
35,0.953
36,0.979
37,0.951
38,1.008
39,0.931
40,0.939
41,0.931
42,0.929
43,0.922
44,0.926
45,0.929
46,1.311
47,1.228
48,1.038
49,0.955
50,0.950
51,0.966
52,0.939
53,1.124
54,0.933
55,0.928
56,0.928
57,0.956
58,0.947
59,0.936
60,0.930
61,0.949
62,1.041
63,1.046
64,1.143
65,1.004
66,0.964
67,0.925
68,0.935
69,0.945
70,0.939
71,0.935
72,0.974
73,1.140
74,0.987
75,0.966
76,0.937
77,0.929
78,0.930
79,0.951
80,1.023
81,0.953
82,0.913
83,0.938
84,0.947
85,0.939
86,0.937
87,0.948
88,0.890
89,0.871
90,0.882
91,0.919
92,0.901
93,1.063
94,0.877
95,0.882
96,0.906
97,0.916
98,0.993
99,1.076
100,1.389
